Hour,Minute,RMSE,MAPE,2014_RMSE,2015_RMSE,2016_RMSE,2017_RMSE,2018_RMSE,2019_RMSE,2020_RMSE,2014_MAPE,2015_MAPE,2016_MAPE,2017_MAPE,2018_MAPE,2019_MAPE,2020_MAPE
5,0,224.72775217262424,0.043549142347245086,206.7762337957883,185.49009967935157,201.1371711553218,208.23277862776,193.1211550969695,217.3640029141871,233.01046719924713,0.03734564813997625,0.03505208426153938,0.040081156228938694,0.04370129448322689,0.037440037743701714,0.042286296205407574,0.047576313649539376
5,30,290.2053072200649,0.05310725058837443,356.5142764568295,245.75920664104484,281.6635593890309,258.12996818427325,246.4008230698841,268.67052202921013,307.43813239387634,0.05633140461003252,0.04402023023462477,0.05259815034584162,0.05080957325773609,0.045864975431149625,0.05039283232020661,0.06161286739330254
6,0,346.7963726453222,0.06357240173166853,353.5883005222356,313.07611202608877,361.16121304690074,358.18970272823987,317.1336928954745,343.1373799956677,340.9691375610301,0.06137537542837205,0.05742717170288785,0.06489139222736313,0.06732688801802975,0.05753336552841432,0.06287076579906652,0.0657103440624614
6,30,361.0141709450674,0.06197443994039934,357.24885164438047,321.1989837323624,379.9919750699561,389.27266978955015,333.7754821861792,368.2352503427527,381.270928523087,0.05942766958930033,0.05430180078490086,0.06543908153650128,0.06743783810172284,0.05677077272822422,0.06380767297020182,0.07022807694373681
7,0,411.9624476757475,0.0670674854829409,481.79763281620535,371.568007640378,416.55484884396617,375.00475199874364,359.7735848936628,401.7931086775222,409.522198825124,0.07253921733651836,0.06071038543033122,0.06837740445513192,0.06440423213306969,0.059073387479007505,0.06595073398133244,0.07229175866198585
7,30,408.0445202465913,0.061871530052090326,446.2596397488839,367.70466326869825,392.586731519134,391.7277086488766,373.08794254710716,457.24476598183827,457.00751785665113,0.060807171080482385,0.054057953274922535,0.06025815347883472,0.06413876550570285,0.05620944831713623,0.071342218170208,0.07803371379242532
8,0,417.87294404780226,0.06304112199718494,404.06582097623675,367.8244310046827,392.01916528509673,418.72733214918924,386.5986990869486,458.0301428075117,457.76857889281615,0.05629608900123013,0.055300103426416954,0.06017622034523399,0.06728032078995008,0.05995597880351846,0.07065874950527128,0.07531217674536457
8,30,435.20706754095283,0.06274708523159604,451.2726625471811,394.1356182218872,397.06750949732356,403.17768366338976,386.47494094785617,465.852644633822,456.158134730534,0.05581243944122579,0.05401468261392123,0.05868849334774648,0.06342106801572409,0.05584031756999887,0.07118762559060865,0.07216097941344284
9,0,396.1738707615866,0.05815792392410103,370.89383914315647,343.02094813844104,358.7301180264905,380.9568449651413,387.9893801377492,470.47818451780233,481.51830209939396,0.04698446325578584,0.04860774691121271,0.05370238183058558,0.05904736657478903,0.058632374950818286,0.07462632925214059,0.07749470094397244
9,30,807.7099616580277,0.12593924717152624,853.9720444174499,778.8561247449807,775.1833748352525,817.4666483905097,815.4355899435407,875.8435923526871,932.8727057701316,0.11817777464858997,0.11439387397339491,0.12044928387795165,0.13650743416569977,0.13524106517157686,0.15306288288424608,0.16324640366660365
10,0,553.2916403135205,0.08326277172146403,500.94386727876173,493.184013307169,517.4063278809313,559.3718684636308,566.0366132737261,671.3451458499464,703.2276917419979,0.07020120164668806,0.07145516970193433,0.0785607393491427,0.08979870081534481,0.08812770579202589,0.11415406663742289,0.12219419232865888
10,30,530.6581968506763,0.07792677039674673,619.4864573410333,481.470005739725,469.70720570189974,468.4648968983739,490.4105283987281,615.3836026429698,648.3960419765982,0.07098180566435433,0.066870332644513,0.07016095537007998,0.0767192216909213,0.07679152097600214,0.10526300914773673,0.11732535275041572
11,0,480.019825705428,0.06988563864912019,486.2343581616286,414.34170928851466,436.0235226208433,419.8925763576137,432.1493234767399,642.6049279125554,775.6052240197745,0.05865389947615935,0.05764043074390833,0.06261556835867757,0.0651618609618804,0.06789794025570058,0.10713182766373629,0.13658160844225245
11,30,562.655848198446,0.08399413686894332,536.13943533889,492.4090114909746,535.417492948794,548.4528312378746,567.8412569497141,713.4153462558136,750.8504130965256,0.06899566169955652,0.07112753591955975,0.07924367742424435,0.08497053211867035,0.0892906661480733,0.12309176734356199,0.1340435850339477
